point_id,source,event_type,kind,state,analysis_family,embedding_x,embedding_y,admissibility_score,provenance_score,gsr_sensitivity_score,hrf_completeness_score,leakage_risk_score,conflict_density,review_activity,memory_reuse_score,ood_novelty_score,robustness_score,memory_reuse_count
audit:3,job_audit,enqueued,enhanced_job,succeeded,Scientific review,-7.722799777984619,10.738031387329102,0.9234213619895757,0.5213835124348477,0.0,0.12111613854980142,0.1254095171726819,0.012145385669198882,0.36,0.0,0.1050503191031559,0.2938490322382726,0.0
audit:4,job_audit,claimed,enhanced_job,succeeded,Scientific review,-7.729875087738037,10.73340892791748,0.9244867904537162,0.5280424403357266,0.0,0.13529965497867338,0.12447726726655885,0.012145385669198882,0.36,0.0,0.10438442631306802,0.29504763926043076,0.0
audit:5,job_audit,status,enhanced_job,succeeded,Scientific review,-7.753993034362793,10.748248100280762,0.9244867904537162,0.5280424403357266,0.0,0.13529965497867338,0.12447726726655885,0.012145385669198882,0.45999999999999996,0.0,0.10438442631306802,0.29504763926043076,0.0
audit:6,job_audit,state_changed:JobStatusV1.running,enhanced_job,succeeded,Scientific review,-7.746461868286133,10.74143123626709,0.9291949428970081,0.5574683931063007,0.0,0.19797693437999636,0.12035763387867847,0.012145385669198882,0.45999999999999996,0.0,0.10144183103601061,0.30034431075913415,0.0
audit:7,job_audit,step,enhanced_job,succeeded,Scientific review,-7.725910186767578,10.764695167541504,0.9244867904537162,0.5280424403357266,0.0,0.13529965497867338,0.12447726726655885,0.012145385669198882,0.45999999999999996,0.0,0.10438442631306802,0.29504763926043076,0.0
audit:8,job_audit,step_update,enhanced_job,succeeded,Scientific review,-7.731813907623291,10.739710807800291,0.9258290715745556,0.5364316973409724,0.0,0.15316877239984716,0.12330277128582443,0.012145385669198882,0.45999999999999996,0.0,0.10354550061254343,0.29655770552137506,0.0
audit:9,job_audit,status,enhanced_job,succeeded,Scientific review,-7.743071556091309,10.739330291748049,0.9244867904537162,0.5280424403357266,0.0,0.13529965497867338,0.12447726726655885,0.012145385669198882,0.45999999999999996,0.0,0.10438442631306802,0.29504763926043076,0.0
audit:10,job_audit,state_changed:JobStatusV1.succeeded,enhanced_job,succeeded,Scientific review,-7.733000755310059,10.734136581420898,0.9291949428970081,0.5574683931063007,0.0,0.19797693437999636,0.12035763387867847,0.012145385669198882,0.45999999999999996,0.0,0.10144183103601061,0.30034431075913415,0.0
audit:11,job_audit,enqueued,plan,succeeded,QC / preprocessing,2.174238920211792,2.249314785003662,0.8622213619895756,0.45138351243484764,0.48,0.22989800760689866,0.3497701091370417,0.02786717722168385,0.36,0.16666666666666666,0.16503873191226726,0.2812490322382726,1.0
audit:12,job_audit,claimed,plan,succeeded,QC / preprocessing,2.1964755058288574,2.2835607528686523,0.8632867904537163,0.4580424403357265,0.48,0.24408152403577063,0.34883785923091865,0.02786717722168385,0.36,0.16666666666666666,0.16437283912217937,0.28244763926043076,1.0
audit:13,job_audit,status,plan,succeeded,QC / preprocessing,2.1864213943481445,2.275749444961548,0.8632867904537163,0.4580424403357265,0.48,0.24408152403577063,0.34883785923091865,0.02786717722168385,0.45999999999999996,0.16666666666666666,0.16437283912217937,0.28244763926043076,1.0
audit:14,job_audit,state_changed:JobStatusV1.running,plan,succeeded,QC / preprocessing,2.183289051055908,2.282490968704224,0.8679949428970082,0.4874683931063007,0.48,0.3067588034370936,0.3447182258430383,0.02786717722168385,0.45999999999999996,0.16666666666666666,0.16143024384512195,0.28774431075913415,1.0
audit:15,job_audit,step,plan,succeeded,QC / preprocessing,2.166224479675293,2.301625967025757,0.8632867904537163,0.4580424403357265,0.48,0.24408152403577063,0.34883785923091865,0.02786717722168385,0.45999999999999996,0.16666666666666666,0.16437283912217937,0.28244763926043076,1.0
audit:16,job_audit,recovered,plan,succeeded,QC / preprocessing,10.315471649169922,-14.931042671203612,0.8640427239791513,0.4627670248696953,0.48,0.25414488909312416,0.3621764173961631,0.16786717722168387,0.36,0.16666666666666666,0.16390038066878249,0.28329806447654515,1.0
audit:17,job_audit,claimed,plan,succeeded,QC / preprocessing,2.1834065914154053,2.27934193611145,0.8632867904537163,0.4580424403357265,0.48,0.24408152403577063,0.34883785923091865,0.02786717722168385,0.36,0.16666666666666666,0.16437283912217937,0.28244763926043076,1.0
audit:18,job_audit,status,plan,succeeded,QC / preprocessing,2.186628818511963,2.266265153884888,0.8632867904537163,0.4580424403357265,0.48,0.24408152403577063,0.34883785923091865,0.02786717722168385,0.45999999999999996,0.16666666666666666,0.16437283912217937,0.28244763926043076,1.0
audit:19,job_audit,state_changed:JobStatusV1.running,plan,succeeded,QC / preprocessing,2.178929090499878,2.2802515029907227,0.8679949428970082,0.4874683931063007,0.48,0.3067588034370936,0.3447182258430383,0.02786717722168385,0.45999999999999996,0.16666666666666666,0.16143024384512195,0.28774431075913415,1.0
audit:20,job_audit,step,plan,succeeded,QC / preprocessing,2.1892995834350586,2.326795816421509,0.8632867904537163,0.4580424403357265,0.48,0.24408152403577063,0.34883785923091865,0.02786717722168385,0.45999999999999996,0.16666666666666666,0.16437283912217937,0.28244763926043076,1.0
audit:21,job_audit,step_update,plan,succeeded,QC / preprocessing,2.165280818939209,2.308666467666626,0.8646290715745555,0.4664316973409724,0.48,0.26195064145694436,0.34766336325018427,0.02786717722168385,0.45999999999999996,0.16666666666666666,0.16353391342165477,0.28395770552137506,1.0
audit:22,job_audit,status,plan,succeeded,QC / preprocessing,2.2041406631469727,2.279040813446045,0.8632867904537163,0.4580424403357265,0.48,0.24408152403577063,0.34883785923091865,0.02786717722168385,0.45999999999999996,0.16666666666666666,0.16437283912217937,0.28244763926043076,1.0
audit:23,job_audit,state_changed:JobStatusV1.succeeded,plan,succeeded,QC / preprocessing,2.17184853553772,2.205688714981079,0.8679949428970082,0.4874683931063007,0.48,0.3067588034370936,0.3447182258430383,0.02786717722168385,0.45999999999999996,0.16666666666666666,0.16143024384512195,0.28774431075913415,1.0
audit:24,job_audit,step_update,plan,succeeded,QC / preprocessing,2.1772186756134038,2.315282821655273,0.8646290715745555,0.4664316973409724,0.48,0.26195064145694436,0.34766336325018427,0.02786717722168385,0.45999999999999996,0.16666666666666666,0.16353391342165477,0.28395770552137506,1.0
audit:25,job_audit,status,plan,succeeded,QC / preprocessing,2.19099497795105,2.29262375831604,0.8632867904537163,0.4580424403357265,0.48,0.24408152403577063,0.34883785923091865,0.02786717722168385,0.45999999999999996,0.16666666666666666,0.16437283912217937,0.28244763926043076,1.0
audit:26,job_audit,state_changed:JobStatusV1.succeeded,plan,succeeded,QC / preprocessing,2.1729989051818848,2.207430124282837,0.8679949428970082,0.4874683931063007,0.48,0.3067588034370936,0.3447182258430383,0.02786717722168385,0.45999999999999996,0.16666666666666666,0.16143024384512195,0.28774431075913415,1.0
audit:27,job_audit,state_changed:JobStatusV1.succeeded,plan,succeeded,QC / preprocessing,2.1736204624176025,2.215526580810547,0.8622213619895756,0.45138351243484764,0.48,0.22989800760689866,0.3497701091370417,0.02786717722168385,0.45999999999999996,0.16666666666666666,0.16503873191226726,0.2812490322382726,1.0
audit:29,job_audit,enqueued,enhanced_job,failed,QC / preprocessing,-8.059541702270508,10.650514602661133,0.3622213619895756,0.45138351243484764,0.2,0.11201613854980143,0.2115928035030839,0.6436561253953363,0.36,0.0,0.12528253146094415,0.08124903223827257,0.0
audit:30,job_audit,status,enhanced_job,failed,QC / preprocessing,-8.041491508483887,10.665529251098633,0.3632867904537162,0.4580424403357265,0.2,0.1261996549786734,0.21066055359696084,0.6436561253953363,0.45999999999999996,0.0,0.12461663867085625,0.08244763926043076,0.0
audit:31,job_audit,state_changed:JobStatusV1.running,enhanced_job,failed,QC / preprocessing,-8.069459915161133,10.625295639038086,0.3679949428970081,0.4874683931063007,0.2,0.18887693437999636,0.20654092020908044,0.6436561253953363,0.45999999999999996,0.0,0.12167404339379884,0.08774431075913412,0.0
audit:32,job_audit,step,enhanced_job,failed,QC / preprocessing,-8.044294357299805,10.624387741088867,0.3632867904537162,0.4580424403357265,0.2,0.1261996549786734,0.21066055359696084,0.6436561253953363,0.45999999999999996,0.0,0.12461663867085625,0.08244763926043076,0.0
audit:33,job_audit,step_update,enhanced_job,failed,QC / preprocessing,-8.07177734375,10.62939453125,0.3646290715745556,0.4664316973409724,0.2,0.14406877239984717,0.2094860576162264,0.6436561253953363,0.45999999999999996,0.0,0.12377771297033166,0.08395770552137503,0.0
audit:34,job_audit,status,enhanced_job,failed,QC / preprocessing,-8.048602104187012,10.665410041809082,0.3640427239791512,0.4627670248696953,0.2,0.13626302003602692,0.2099991117622052,0.6436561253953363,0.45999999999999996,0.0,0.12414418021745936,0.08329806447654514,0.0
audit:35,job_audit,state_changed:JobStatusV1.failed,enhanced_job,failed,QC / preprocessing,-8.058526039123535,10.635809898376465,0.3679949428970081,0.4874683931063007,0.2,0.18887693437999636,0.22054092020908045,0.7836561253953364,0.45999999999999996,0.0,0.12167404339379884,0.08774431075913412,0.0
audit:36,job_audit,enqueued,enhanced_job,succeeded,QC / preprocessing,-8.059429168701172,10.648239135742188,0.9234213619895757,0.5213835124348477,0.38,0.12111613854980142,0.1388077958029211,0.0,0.36,0.0,0.11966313630031501,0.2938490322382726,0.0
audit:37,job_audit,status,enhanced_job,succeeded,QC / preprocessing,-8.034737586975098,10.664544105529783,0.9244867904537162,0.5280424403357266,0.38,0.13529965497867338,0.13787554589679807,0.0,0.45999999999999996,0.0,0.11899724351022713,0.29504763926043076,0.0
audit:38,job_audit,state_changed:JobStatusV1.running,enhanced_job,succeeded,QC / preprocessing,-8.057101249694824,10.637959480285645,0.9291949428970081,0.5574683931063007,0.38,0.19797693437999636,0.1337559125089177,0.0,0.45999999999999996,0.0,0.11605464823316972,0.30034431075913415,0.0
audit:39,job_audit,step,enhanced_job,succeeded,QC / preprocessing,-8.05051326751709,10.640024185180664,0.9244867904537162,0.5280424403357266,0.38,0.13529965497867338,0.13787554589679807,0.0,0.45999999999999996,0.0,0.11899724351022713,0.29504763926043076,0.0
audit:40,job_audit,step_update,enhanced_job,succeeded,QC / preprocessing,-8.088342666625977,10.637975692749023,0.9258290715745556,0.5364316973409724,0.38,0.15316877239984716,0.13670104991606363,0.0,0.45999999999999996,0.0,0.11815831780970254,0.29655770552137506,0.0
audit:41,job_audit,status,enhanced_job,succeeded,QC / preprocessing,-8.053732872009277,10.65638828277588,0.9244867904537162,0.5280424403357266,0.38,0.13529965497867338,0.13787554589679807,0.0,0.45999999999999996,0.0,0.11899724351022713,0.29504763926043076,0.0
audit:42,job_audit,state_changed:JobStatusV1.succeeded,enhanced_job,succeeded,QC / preprocessing,-8.053894996643066,10.634251594543455,0.9291949428970081,0.5574683931063007,0.38,0.19797693437999636,0.1337559125089177,0.0,0.45999999999999996,0.0,0.11605464823316972,0.30034431075913415,0.0
audit:44,job_audit,enqueued,enhanced_job,failed,QC / preprocessing,-8.059000015258789,10.618818283081056,0.3622213619895756,0.45138351243484764,0.38,0.11201613854980143,0.2126077958029211,0.64,0.36,0.0,0.126663136300315,0.08124903223827257,0.0
audit:45,job_audit,status,enhanced_job,failed,QC / preprocessing,-8.051605224609375,10.646875381469728,0.3632867904537162,0.4580424403357265,0.38,0.1261996549786734,0.21167554589679807,0.64,0.45999999999999996,0.0,0.12599724351022712,0.08244763926043076,0.0
audit:46,job_audit,state_changed:JobStatusV1.running,enhanced_job,failed,QC / preprocessing,-8.073512077331543,10.59868049621582,0.3679949428970081,0.4874683931063007,0.38,0.18887693437999636,0.2075559125089177,0.64,0.45999999999999996,0.0,0.12305464823316972,0.08774431075913412,0.0
audit:47,job_audit,step,enhanced_job,failed,QC / preprocessing,-8.063042640686035,10.618818283081056,0.3632867904537162,0.4580424403357265,0.38,0.1261996549786734,0.21167554589679807,0.64,0.45999999999999996,0.0,0.12599724351022712,0.08244763926043076,0.0
audit:48,job_audit,step_update,enhanced_job,failed,QC / preprocessing,-8.09103775024414,10.640137672424316,0.3646290715745556,0.4664316973409724,0.38,0.14406877239984717,0.21050104991606367,0.64,0.45999999999999996,0.0,0.12515831780970255,0.08395770552137503,0.0
