artifact_count,attempt,audit_id,claimed_at,cpus,created_at,duration_s,error_present,event_created_at,event_offset_s,event_type,exit_code,finished_at,gpu_req,job_id,job_name_present,kind,max_attempts,memory_gb,payload_key_count,payload_text_len,plan_event_count,point_id,priority,project_present,prompt_len,queued_at,run_dir_present,run_id_present,session_present,source,started_at,state,step_count,term_activation,term_clinical,term_connectivity,term_decoding,term_diffusion,term_eeg,term_evidence,term_glm,term_graph,term_meg,term_memory,term_meta_analysis,term_neurosynth,term_nimare,term_ood,term_openneuro,term_prediction,term_preprocess,term_qc,term_review,term_tractography,tool_id,updated_at,user_present,walltime_minutes,conversation_event_count,has_observation,has_research_events,has_review_verdict,has_tool_trace,has_trace,has_trajectory,tool_trace_event_count,trace_event_count,analysis_family,point_label,embedding_x,embedding_y
1,0,3.0,1770879876.0,1,1770879875,9,0,1770879875.0,0,enqueued,-1,1770879884,0,job_7bfaa7e3b911,0,enhanced_job,3,4.0,1,15,0,audit:3,5.0,1,19,1770879875.0,1,1,0,job_audit,1770879875,succeeded,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1776898683,0,60,,,,,,,,,,Scientific review,job_audit / enqueued / succeeded,-7.722799777984619,10.738031387329102
1,0,4.0,1770879876.0,1,1770879875,9,0,1770879876.0,1,claimed,-1,1770879884,0,job_7bfaa7e3b911,0,enhanced_job,3,4.0,2,45,0,audit:4,5.0,1,19,1770879875.0,1,1,0,job_audit,1770879875,succeeded,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1776898683,0,60,,,,,,,,,,Scientific review,job_audit / claimed / succeeded,-7.729875087738037,10.73340892791748
1,0,5.0,1770879876.0,1,1770879875,9,0,1770879876.0,1,status,-1,1770879884,0,job_7bfaa7e3b911,0,enhanced_job,3,4.0,2,39,0,audit:5,5.0,1,19,1770879875.0,1,1,0,job_audit,1770879875,succeeded,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1776898683,0,60,,,,,,,,,,Scientific review,job_audit / status / succeeded,-7.753993034362793,10.748248100280762
1,0,6.0,1770879876.0,1,1770879875,9,0,1770879876.0,1,state_changed:JobStatusV1.running,-1,1770879884,0,job_7bfaa7e3b911,0,enhanced_job,3,4.0,17,1005,0,audit:6,5.0,1,19,1770879875.0,1,1,0,job_audit,1770879875,succeeded,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1776898683,0,60,,,,,,,,,,Scientific review,job_audit / state_changed:JobStatusV1.running / succeeded,-7.746461868286133,10.74143123626709
1,0,7.0,1770879876.0,1,1770879875,9,0,1770879876.0,1,step,-1,1770879884,0,job_7bfaa7e3b911,0,enhanced_job,3,4.0,2,310,0,audit:7,5.0,1,19,1770879875.0,1,1,0,job_audit,1770879875,succeeded,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1776898683,0,60,,,,,,,,,,Scientific review,job_audit / step / succeeded,-7.725910186767578,10.764695167541504
1,0,8.0,1770879876.0,1,1770879875,9,0,1770879884.0,9,step_update,-1,1770879884,0,job_7bfaa7e3b911,0,enhanced_job,3,4.0,4,89,0,audit:8,5.0,1,19,1770879875.0,1,1,0,job_audit,1770879875,succeeded,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1776898683,0,60,,,,,,,,,,Scientific review,job_audit / step_update / succeeded,-7.731813907623291,10.739710807800293
1,0,9.0,1770879876.0,1,1770879875,9,0,1770879884.0,9,status,-1,1770879884,0,job_7bfaa7e3b911,0,enhanced_job,3,4.0,2,41,0,audit:9,5.0,1,19,1770879875.0,1,1,0,job_audit,1770879875,succeeded,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1776898683,0,60,,,,,,,,,,Scientific review,job_audit / status / succeeded,-7.743071556091309,10.739330291748047
1,0,10.0,1770879876.0,1,1770879875,9,0,1770879885.0,10,state_changed:JobStatusV1.succeeded,-1,1770879884,0,job_7bfaa7e3b911,0,enhanced_job,3,4.0,17,1771,0,audit:10,5.0,1,19,1770879875.0,1,1,0,job_audit,1770879875,succeeded,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1776898683,0,60,,,,,,,,,,Scientific review,job_audit / state_changed:JobStatusV1.succeeded / succeeded,-7.733000755310059,10.734136581420898
0,0,11.0,1770881406.0,1,1770881320,196,0,1770881320.0,0,enqueued,-1,1770881516,0,job_1f3e162e1d5e,0,plan,3,4.0,1,15,0,audit:11,5.0,1,320,1770881320.0,1,1,1,job_audit,1770881320,succeeded,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,,1776898694,1,60,,,,,,,,,,QC / preprocessing,job_audit / enqueued / succeeded,2.174238920211792,2.249314785003662
0,0,12.0,1770881406.0,1,1770881320,196,0,1770881321.0,1,claimed,-1,1770881516,0,job_1f3e162e1d5e,0,plan,3,4.0,2,45,0,audit:12,5.0,1,320,1770881320.0,1,1,1,job_audit,1770881320,succeeded,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,,1776898694,1,60,,,,,,,,,,QC / preprocessing,job_audit / claimed / succeeded,2.1964755058288574,2.2835607528686523
0,0,13.0,1770881406.0,1,1770881320,196,0,1770881321.0,1,status,-1,1770881516,0,job_1f3e162e1d5e,0,plan,3,4.0,2,39,0,audit:13,5.0,1,320,1770881320.0,1,1,1,job_audit,1770881320,succeeded,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,,1776898694,1,60,,,,,,,,,,QC / preprocessing,job_audit / status / succeeded,2.1864213943481445,2.275749444961548
0,0,14.0,1770881406.0,1,1770881320,196,0,1770881321.0,1,state_changed:JobStatusV1.running,-1,1770881516,0,job_1f3e162e1d5e,0,plan,3,4.0,17,2150,0,audit:14,5.0,1,320,1770881320.0,1,1,1,job_audit,1770881320,succeeded,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,,1776898694,1,60,,,,,,,,,,QC / preprocessing,job_audit / state_changed:JobStatusV1.running / succeeded,2.183289051055908,2.2824909687042236
0,0,15.0,1770881406.0,1,1770881320,196,0,1770881321.0,1,step,-1,1770881516,0,job_1f3e162e1d5e,0,plan,3,4.0,2,613,0,audit:15,5.0,1,320,1770881320.0,1,1,1,job_audit,1770881320,succeeded,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,,1776898694,1,60,,,,,,,,,,QC / preprocessing,job_audit / step / succeeded,2.166224479675293,2.301625967025757
0,0,16.0,1770881406.0,1,1770881320,196,0,1770881405.0,85,recovered,-1,1770881516,0,job_1f3e162e1d5e,0,plan,3,4.0,3,79,0,audit:16,5.0,1,320,1770881320.0,1,1,1,job_audit,1770881320,succeeded,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,,1776898694,1,60,,,,,,,,,,QC / preprocessing,job_audit / recovered / succeeded,10.315471649169922,-14.931042671203613
0,0,17.0,1770881406.0,1,1770881320,196,0,1770881406.0,86,claimed,-1,1770881516,0,job_1f3e162e1d5e,0,plan,3,4.0,2,45,0,audit:17,5.0,1,320,1770881320.0,1,1,1,job_audit,1770881320,succeeded,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,,1776898694,1,60,,,,,,,,,,QC / preprocessing,job_audit / claimed / succeeded,2.1834065914154053,2.27934193611145
0,0,18.0,1770881406.0,1,1770881320,196,0,1770881406.0,86,status,-1,1770881516,0,job_1f3e162e1d5e,0,plan,3,4.0,2,39,0,audit:18,5.0,1,320,1770881320.0,1,1,1,job_audit,1770881320,succeeded,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,,1776898694,1,60,,,,,,,,,,QC / preprocessing,job_audit / status / succeeded,2.186628818511963,2.2662651538848877
0,0,19.0,1770881406.0,1,1770881320,196,0,1770881406.0,86,state_changed:JobStatusV1.running,-1,1770881516,0,job_1f3e162e1d5e,0,plan,3,4.0,17,2779,0,audit:19,5.0,1,320,1770881320.0,1,1,1,job_audit,1770881320,succeeded,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,,1776898694,1,60,,,,,,,,,,QC / preprocessing,job_audit / state_changed:JobStatusV1.running / succeeded,2.178929090499878,2.2802515029907227
0,0,20.0,1770881406.0,1,1770881320,196,0,1770881406.0,86,step,-1,1770881516,0,job_1f3e162e1d5e,0,plan,3,4.0,2,613,0,audit:20,5.0,1,320,1770881320.0,1,1,1,job_audit,1770881320,succeeded,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,,1776898694,1,60,,,,,,,,,,QC / preprocessing,job_audit / step / succeeded,2.1892995834350586,2.326795816421509
0,0,21.0,1770881406.0,1,1770881320,196,0,1770881431.0,111,step_update,-1,1770881516,0,job_1f3e162e1d5e,0,plan,3,4.0,4,131,0,audit:21,5.0,1,320,1770881320.0,1,1,1,job_audit,1770881320,succeeded,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,,1776898694,1,60,,,,,,,,,,QC / preprocessing,job_audit / step_update / succeeded,2.165280818939209,2.308666467666626
0,0,22.0,1770881406.0,1,1770881320,196,0,1770881431.0,111,status,-1,1770881516,0,job_1f3e162e1d5e,0,plan,3,4.0,2,41,0,audit:22,5.0,1,320,1770881320.0,1,1,1,job_audit,1770881320,succeeded,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,,1776898694,1,60,,,,,,,,,,QC / preprocessing,job_audit / status / succeeded,2.2041406631469727,2.279040813446045
0,0,23.0,1770881406.0,1,1770881320,196,0,1770881431.0,111,state_changed:JobStatusV1.succeeded,-1,1770881516,0,job_1f3e162e1d5e,0,plan,3,4.0,17,3465,0,audit:23,5.0,1,320,1770881320.0,1,1,1,job_audit,1770881320,succeeded,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,,1776898694,1,60,,,,,,,,,,QC / preprocessing,job_audit / state_changed:JobStatusV1.succeeded / succeeded,2.1718485355377197,2.205688714981079
